#temp,#2.1,#1.76,#1.2,#0.7
0.001,0,0,0,0
0.002,0,0,2.15747e-261,1.19366e-157
0.003,1.03865e-300,4.78297e-252,1.43972e-172,1.50113e-103
0.004,3.19474e-224,8.95933e-188,2.91572e-128,1.30572e-76
0.005,2.22703e-178,2.91583e-149,9.78786e-102,1.64021e-60
0.006,7.53105e-148,1.27972e-123,4.3589e-84,8.05825e-50
0.007,4.5589e-126,2.50903e-105,1.66683e-71,3.27329e-42
0.008,9.46653e-110,1.26045e-91,4.37971e-62,1.59166e-36
0.009,4.48734e-97,5.52254e-81,9.00005e-55,4.07845e-32
0.01,6.02421e-87,1.75084e-72,6.21536e-49,1.33762e-28
0.011,1.1369e-78,1.54331e-65,3.64557e-44,9.86545e-26
0.012,8.7742e-72,9.27677e-60,3.3685e-40,2.38067e-23
0.013,5.7987e-66,7.07536e-55,7.51865e-37,2.43565e-21
0.014,5.56279e-61,1.06679e-50,5.50098e-34,1.27094e-19
0.015,1.14057e-56,4.40105e-47,1.65011e-31,3.87257e-18
0.016,6.6804e-53,6.33912e-44,2.40002e-29,7.62558e-17
0.017,1.3952e-49,3.84065e-41,1.92415e-27,1.04853e-15
0.018,1.23454e-46,1.13133e-38,9.39478e-26,1.06921e-14
0.019,5.30276e-44,1.81648e-36,3.02222e-24,8.47904e-14
0.02,1.23277e-41,1.7419e-34,6.82152e-23,5.43141e-13
0.021,1.69391e-39,1.07422e-32,1.13674e-21,2.89802e-12
0.022,1.47844e-37,4.52598e-31,1.45797e-20,1.32075e-11
0.023,8.69853e-36,1.36954e-29,1.4896e-19,5.24898e-11
0.024,3.62522e-34,3.10277e-28,1.24755e-18,1.85081e-10
0.025,1.11567e-32,5.45018e-27,8.77319e-18,5.87466e-10
0.026,2.62618e-31,7.6452e-26,5.28677e-17,1.69925e-09
0.027,4.8721e-30,8.78236e-25,2.77764e-16,4.52607e-09
0.028,7.30898e-29,8.44187e-24,1.29137e-15,1.1201e-08
0.029,9.06467e-28,6.9173e-23,5.38101e-15,2.59542e-08
0.03,9.47376e-27,4.91013e-22,2.03198e-14,5.66855e-08
0.031,8.48424e-26,3.06189e-21,7.02099e-14,1.17374e-07
0.032,6.60632e-25,1.69804e-20,2.23851e-13,2.31587e-07
0.033,4.53031e-24,8.46522e-20,6.63458e-13,4.37352e-07
0.034,2.7671e-23,3.82986e-19,1.83989e-12,7.93654e-07
0.035,1.52054e-22,1.58573e-18,4.80181e-12,1.38876e-06
0.036,7.58411e-22,6.05367e-18,1.18543e-11,2.35048e-06
0.037,3.46089e-21,2.14506e-17,2.78094e-11,3.8585e-06
0.038,1.45521e-20,7.09702e-17,6.22482e-11,6.15859e-06
0.039,5.67384e-20,2.20417e-16,1.33436e-10,9.57862e-06
0.04,2.06313e-19,6.45697e-16,2.74828e-10,1.45461e-05
0.041,7.03252e-19,1.79188e-15,5.45485e-10,2.16066e-05
0.042,2.25766e-18,4.72918e-15,1.04618e-09,3.14434e-05
0.043,6.85494e-18,1.19124e-14,1.94351e-09,4.48961e-05
0.044,1.97612e-17,2.87307e-14,3.50499e-09,6.29801e-05
0.045,5.42761e-17,6.65436e-14,6.14868e-09,8.69041e-05
0.046,1.42486e-16,1.48402e-13,1.05116e-08,0.000118086
0.047,3.58571e-16,3.19454e-13,1.75421e-08,0.000158168
0.048,8.6731e-16,6.65255e-13,2.86209e-08,0.000209026
0.049,2.02133e-15,1.34299e-12,4.57184e-08,0.000272781
0.05,4.5493e-15,2.6332e-12,7.15924e-08,0.000351802
0.051,9.90824e-15,5.02317e-12,1.10035e-07,0.000448708
0.052,2.09231e-14,9.338e-12,1.66173e-07,0.00056637
0.053,4.29145e-14,1.69416e-11,2.46832e-07,0.0007079
0.054,8.56329e-14,3.00386e-11,3.60961e-07,0.000876648
0.055,1.66493e-13,5.21172e-11,5.20135e-07,0.00107619
0.056,3.1585e-13,8.85872e-11,7.39131e-07,0.0013103
0.057,5.85418e-13,1.47682e-10,1.03658e-06,0.00158296
0.058,1.0614e-12,2.41709e-10,1.43571e-06,0.00189832
0.059,1.88459e-12,3.8876e-10,1.96513e-06,0.00226067
0.06,3.28045e-12,6.15004e-10,2.65977e-06,0.00267443
0.061,5.60355e-12,9.57728e-10,3.5618e-06,0.00314414
0.062,9.40168e-12,1.4693e-09,4.72172e-06,0.00367439
0.063,1.55073e-11,2.22229e-09,6.19941e-06,0.00426984
0.064,2.51658e-11,3.31591e-09,8.06533e-06,0.00493515
0.065,4.02119e-11,4.88423e-09,1.04017e-05,0.00567501
0.066,6.33114e-11,7.10624e-09,1.33038e-05,0.00649406
0.067,9.82839e-11,1.02183e-08,1.6881e-05,0.00739689
0.068,1.50533e-10,1.45292e-08,2.12587e-05,0.00838801
0.069,2.27606e-10,2.04382e-08,2.65786e-05,0.00947184
0.07,3.39929e-10,2.8457e-08,3.30009e-05,0.0106527
0.071,5.0173e-10,3.92347e-08,4.07051e-05,0.0119346
0.072,7.32231e-10,5.35881e-08,4.98914e-05,0.0133217
0.073,1.05712e-09,7.25361e-08,6.07814e-05,0.0148178
0.074,1.51042e-09,9.73395e-08,7.36201e-05,0.0164264
0.075,2.13671e-09,1.29547e-07,8.8676e-05,0.018151
0.076,2.99395e-09,1.71045e-07,0.000106243,0.0199948
0.077,4.15677e-09,2.2412e-07,0.000126639,0.0219607
0.078,5.72057e-09,2.91518e-07,0.000150211,0.0240515
0.079,7.80621e-09,3.7652e-07,0.00017733,0.0262697
0.08,1.05657e-08,4.83021e-07,0.000208398,0.0286175
0.081,1.41889e-08,6.15617e-07,0.000243842,0.0310969
0.082,1.89112e-08,7.79701e-07,0.000284118,0.0337097
0.083,2.50224e-08,9.81566e-07,0.000329711,0.0364573
0.084,3.28769e-08,1.22851e-06,0.000381135,0.039341
0.085,4.29059e-08,1.52897e-06,0.00043893,0.0423618
0.086,5.56303e-08,1.89264e-06,0.000503665,0.0455204
0.087,7.16758e-08,2.3306e-06,0.000575937,0.0488174
0.088,9.179e-08,2.85546e-06,0.000656369,0.0522529
0.089,1.16861e-07,3.48152e-06,0.000745612,0.0558271
0.09,1.4794e-07,4.22493e-06,0.00084434,0.0595396
0.091,1.86261e-07,5.10383e-06,0.000953255,0.0633902
0.092,2.3327e-07,6.13854e-06,0.00107308,0.0673782
0.093,2.90652e-07,7.35172e-06,0.00120456,0.0715026
0.094,3.60359e-07,8.76855e-06,0.00134846,0.0757626
0.095,4.44647e-07,1.04169e-05,0.00150558,0.0801569
0.096,5.46109e-07,1.23277e-05,0.00167671,0.084684
0.097,6.67716e-07,1.45346e-05,0.00186269,0.0893425
0.098,8.12854e-07,1.70748e-05,0.00206435,0.0941305
0.099,9.85374e-07,1.9989e-05,0.00228255,0.0990463
0.1,1.18963e-06,2.33213e-05,0.00251815,0.104088
0.101,1.43055e-06,2.71199e-05,0.00277203,0.109253
0.102,1.71365e-06,3.14368e-05,0.00304508,0.114539
0.103,2.04512e-06,3.63283e-05,0.00333819,0.119944
0.104,2.43188e-06,4.18551e-05,0.00365227,0.125465
0.105,2.88163e-06,4.80825e-05,0.00398821,0.1311
0.106,3.40292e-06,5.50804e-05,0.00434694,0.136846
0.107,4.00519e-06,6.29236e-05,0.00472935,0.1427
0.108,4.6989e-06,7.16922e-05,0.00513635,0.148659
0.109,5.49551e-06,8.14712e-05,0.00556886,0.154721
0.11,6.40763e-06,9.23509e-05,0.00602776,0.160883
0.111,7.44905e-06,0.000104427,0.00651397,0.16714
0.112,8.63483e-06,0.000117802,0.00702836,0.173491
0.113,9.98137e-06,0.000132582,0.00757182,0.179932
0.114,1.15065e-05,0.00014888,0.00814521,0.186461
0.115,1.32295e-05,0.000166815,0.00874939,0.193073
0.116,1.51712e-05,0.000186513,0.00938521,0.199765
0.117,1.73543e-05,0.000208102,0.0100535,0.206536
